timestamp,ticker,price,currency,source
2026-07-10T23:13:37+00:00,URTH,204.63,USD,yahoo:URTH
2026-07-10T23:13:37+00:00,EQQQ,727.3,USD,yahoo:EQQQ.SW
2026-07-13T10:31:40+00:00,URTH,204.63,USD,yahoo:URTH
2026-07-13T10:31:40+00:00,EQQQ,722.7,USD,yahoo:EQQQ.SW
2026-07-13T13:27:32+00:00,URTH,204.63,USD,yahoo:URTH
2026-07-13T13:27:32+00:00,EQQQ,721.4,USD,yahoo:EQQQ.SW
2026-07-13T16:38:13+00:00,URTH,203.13,USD,yahoo:URTH
2026-07-13T16:38:13+00:00,EQQQ,720.4,USD,yahoo:EQQQ.SW
2026-07-13T18:46:20+00:00,URTH,203.1,USD,yahoo:URTH
2026-07-13T18:46:20+00:00,EQQQ,720.4,USD,yahoo:EQQQ.SW
2026-07-13T20:19:14+00:00,URTH,203.01,USD,yahoo:URTH
2026-07-13T20:19:14+00:00,EQQQ,720.4,USD,yahoo:EQQQ.SW
2026-07-14T09:08:25+00:00,URTH,203.01,USD,yahoo:URTH
2026-07-14T09:08:25+00:00,EQQQ,718.1,USD,yahoo:EQQQ.SW
2026-07-14T11:35:38+00:00,URTH,203.01,USD,yahoo:URTH
2026-07-14T11:35:38+00:00,EQQQ,719.2,USD,yahoo:EQQQ.SW
2026-07-14T13:56:37+00:00,URTH,204.05,USD,yahoo:URTH
2026-07-14T13:56:37+00:00,EQQQ,722.2,USD,yahoo:EQQQ.SW
2026-07-14T15:36:49+00:00,URTH,204.08,USD,yahoo:URTH
2026-07-14T15:36:49+00:00,EQQQ,722.7,USD,yahoo:EQQQ.SW
2026-07-14T17:19:47+00:00,URTH,204.03,USD,yahoo:URTH
2026-07-14T17:19:47+00:00,EQQQ,724.6,USD,yahoo:EQQQ.SW
2026-07-14T19:26:53+00:00,URTH,203.985,USD,yahoo:URTH
2026-07-14T19:26:53+00:00,EQQQ,724.6,USD,yahoo:EQQQ.SW
2026-07-14T21:04:23+00:00,URTH,203.98,USD,yahoo:URTH
2026-07-14T21:04:23+00:00,EQQQ,724.6,USD,yahoo:EQQQ.SW
2026-07-15T09:12:13+00:00,URTH,203.98,USD,yahoo:URTH
2026-07-15T09:12:13+00:00,EQQQ,726.8,USD,yahoo:EQQQ.SW
2026-07-15T11:38:54+00:00,URTH,203.98,USD,yahoo:URTH
2026-07-15T11:38:54+00:00,EQQQ,726.8,USD,yahoo:EQQQ.SW
2026-07-15T13:52:47+00:00,URTH,204.45,USD,yahoo:URTH
2026-07-15T13:52:47+00:00,EQQQ,726.8,USD,yahoo:EQQQ.SW
2026-07-15T15:37:16+00:00,URTH,204.535,USD,yahoo:URTH
2026-07-15T15:37:16+00:00,EQQQ,717.0,USD,yahoo:EQQQ.SW
2026-07-15T17:22:10+00:00,URTH,204.095,USD,yahoo:URTH
2026-07-15T17:22:10+00:00,EQQQ,719.4,USD,yahoo:EQQQ.SW
2026-07-15T19:19:16+00:00,URTH,204.59,USD,yahoo:URTH
2026-07-15T19:19:16+00:00,EQQQ,719.4,USD,yahoo:EQQQ.SW
2026-07-15T21:04:52+00:00,URTH,204.75,USD,yahoo:URTH
2026-07-15T21:04:52+00:00,EQQQ,719.4,USD,yahoo:EQQQ.SW
2026-07-16T09:18:51+00:00,URTH,204.75,USD,yahoo:URTH
2026-07-16T09:18:52+00:00,EQQQ,718.7,USD,yahoo:EQQQ.SW
2026-07-16T11:44:03+00:00,URTH,204.75,USD,yahoo:URTH
2026-07-16T11:44:03+00:00,EQQQ,716.0,USD,yahoo:EQQQ.SW
2026-07-16T14:05:10+00:00,URTH,203.91,USD,yahoo:URTH
2026-07-16T14:05:10+00:00,EQQQ,711.0,USD,yahoo:EQQQ.SW
2026-07-16T16:20:49+00:00,URTH,203.735,USD,yahoo:URTH
